iter	Passed	Remaining
0	162	162042
1	169	84438
2	174	58085
3	180	45012
4	186	37203
5	193	31991
6	199	28330
7	205	25540
8	212	23367
9	218	21638
10	224	20200
11	230	19018
12	235	17879
13	241	17023
14	248	16294
15	254	15643
16	259	15032
17	266	14537
18	272	14073
19	279	13671
20	285	13310
21	291	12979
22	298	12673
23	304	12388
24	311	12159
25	317	11908
26	324	11685
27	330	11473
28	336	11272
29	343	11094
30	349	10914
31	355	10750
32	361	10602
33	367	10453
34	374	10328
35	380	10197
36	387	10076
37	394	9975
38	401	9882
39	408	9802
40	414	9703
41	421	9606
42	427	9517
43	433	9429
44	440	9345
45	446	9259
46	452	9178
47	459	9112
48	465	9039
49	472	8972
50	478	8903
51	484	8835
52	491	8774
53	497	8709
54	503	8655
55	509	8592
56	515	8531
57	522	8479
58	528	8425
59	535	8386
60	541	8335
61	547	8290
62	554	8242
63	560	8195
64	567	8156
65	573	8116
66	579	8075
67	585	8031
68	591	7987
69	598	7952
70	604	7913
71	611	7878
72	617	7844
73	624	7809
74	630	7779
75	637	7745
76	643	7714
77	650	7684
78	656	7653
79	663	7627
80	669	7595
81	676	7574
82	682	7543
83	689	7515
84	695	7487
85	708	7530
86	715	7512
87	722	7492
88	729	7471
89	736	7443
90	742	7418
91	748	7390
92	754	7362
93	761	7341
94	767	7312
95	773	7288
96	780	7266
97	787	7246
98	794	7230
99	800	7206
100	806	7182
101	813	7158
102	819	7135
103	827	7125
104	833	7106
105	840	7089
106	846	7065
107	852	7042
108	859	7021
109	865	7000
110	871	6983
111	878	6962
112	884	6946
113	891	6927
114	897	6907
115	904	6892
116	910	6873
117	917	6856
118	924	6842
119	930	6824
120	936	6805
121	942	6786
122	948	6761
123	954	6744
124	960	6725
125	967	6709
126	973	6692
127	979	6675
128	986	6658
129	993	6645
130	999	6628
131	1005	6612
132	1011	6595
133	1018	6582
134	1024	6565
135	1031	6550
136	1037	6537
137	1044	6523
138	1051	6515
139	1058	6501
140	1064	6486
141	1071	6472
142	1077	6455
143	1083	6441
144	1089	6426
145	1096	6413
146	1102	6398
147	1108	6383
148	1115	6369
149	1121	6354
150	1128	6342
151	1134	6326
152	1139	6310
153	1146	6297
154	1152	6282
155	1159	6270
156	1165	6259
157	1172	6247
158	1178	6235
159	1185	6221
160	1191	6210
161	1198	6197
162	1204	6184
163	1210	6172
164	1217	6159
165	1223	6147
166	1229	6134
167	1236	6121
168	1242	6109
169	1248	6096
170	1254	6083
171	1261	6071
172	1281	6128
173	1288	6114
174	1294	6102
175	1300	6088
176	1306	6075
177	1312	6063
178	1318	6048
179	1324	6035
180	1330	6021
181	1337	6010
182	1343	5997
183	1349	5984
184	1355	5972
185	1361	5958
186	1367	5946
187	1373	5934
188	1380	5921
189	1386	5910
190	1392	5897
191	1398	5885
192	1401	5862
193	1407	5849
194	1414	5838
195	1420	5827
196	1426	5815
197	1433	5805
198	1439	5794
199	1446	5784
200	1451	5771
201	1457	5759
202	1464	5748
203	1470	5737
204	1476	5727
205	1483	5717
206	1489	5705
207	1495	5695
208	1502	5685
209	1508	5675
210	1515	5665
211	1521	5654
212	1527	5645
213	1534	5636
214	1541	5627
215	1548	5619
216	1554	5608
217	1560	5598
218	1566	5588
219	1573	5577
220	1579	5567
221	1585	5557
222	1592	5547
223	1598	5537
224	1604	5526
225	1610	5514
226	1616	5503
227	1622	5492
228	1628	5482
229	1634	5472
230	1641	5463
231	1647	5452
232	1653	5442
233	1658	5429
234	1664	5418
235	1670	5407
236	1677	5399
237	1683	5391
238	1690	5383
239	1697	5374
240	1703	5365
241	1710	5356
242	1716	5346
243	1722	5337
244	1729	5328
245	1735	5318
246	1741	5309
247	1747	5299
248	1754	5292
249	1761	5284
250	1768	5277
251	1775	5269
252	1781	5259
253	1788	5251
254	1794	5242
255	1801	5235
256	1807	5226
257	1814	5219
258	1821	5210
259	1827	5202
260	1835	5195
261	1841	5186
262	1847	5177
263	1851	5162
264	1857	5152
265	1864	5143
266	1870	5134
267	1876	5126
268	1883	5117
269	1889	5108
270	1895	5099
271	1901	5090
272	1908	5081
273	1914	5073
274	1921	5064
275	1927	5056
276	1934	5048
277	1941	5041
278	1947	5033
279	1953	5024
280	1960	5015
281	1966	5006
282	1972	4997
283	1978	4989
284	1985	4980
285	1991	4971
286	1997	4962
287	2003	4953
288	2010	4945
289	2016	4936
290	2022	4928
291	2029	4920
292	2035	4911
293	2041	4902
294	2047	4893
295	2053	4885
296	2060	4876
297	2066	4867
298	2072	4860
299	2079	4851
300	2085	4843
301	2091	4834
302	2097	4825
303	2104	4817
304	2110	4809
305	2117	4801
306	2123	4793
307	2129	4784
308	2135	4776
309	2142	4768
310	2148	4759
311	2155	4752
312	2161	4743
313	2167	4735
314	2173	4726
315	2179	4718
316	2186	4710
317	2192	4701
318	2198	4693
319	2204	4685
320	2211	4676
321	2217	4668
322	2224	4662
323	2231	4654
324	2236	4644
325	2242	4636
326	2248	4628
327	2255	4620
328	2261	4612
329	2267	4604
330	2273	4596
331	2280	4588
332	2286	4579
333	2292	4571
334	2298	4563
335	2304	4554
336	2310	4546
337	2317	4538
338	2323	4529
339	2330	4523
340	2337	4517
341	2343	4509
342	2349	4500
343	2356	4493
344	2362	4486
345	2369	4478
346	2374	4468
347	2380	4460
348	2386	4451
349	2392	4443
350	2398	4435
351	2404	4426
352	2410	4418
353	2416	4410
354	2423	4402
355	2428	4393
356	2435	4385
357	2441	4378
358	2447	4370
359	2454	4362
360	2460	4355
361	2466	4347
362	2473	4339
363	2479	4331
364	2484	4323
365	2490	4314
366	2497	4306
367	2503	4298
368	2509	4290
369	2514	4281
370	2520	4273
371	2526	4264
372	2532	4256
373	2538	4248
374	2544	4241
375	2551	4233
376	2557	4225
377	2563	4217
378	2569	4210
379	2575	4202
380	2581	4194
381	2587	4186
382	2594	4180
383	2601	4172
384	2607	4165
385	2613	4157
386	2620	4151
387	2628	4146
388	2635	4139
389	2642	4133
390	2650	4128
391	2656	4120
392	2663	4113
393	2669	4105
394	2675	4098
395	2682	4092
396	2689	4085
397	2696	4078
398	2702	4071
399	2709	4063
400	2715	4056
401	2723	4050
402	2731	4046
403	2738	4039
404	2745	4033
405	2752	4026
406	2758	4019
407	2765	4012
408	2772	4005
409	2779	3999
410	2785	3992
411	2792	3985
412	2799	3978
413	2805	3970
414	2811	3963
415	2817	3955
416	2824	3948
417	2830	3941
418	2836	3933
419	2843	3926
420	2849	3918
421	2856	3912
422	2862	3904
423	2868	3896
424	2875	3890
425	2881	3882
426	2887	3875
427	2894	3867
428	2900	3860
429	2906	3853
430	2912	3845
431	2919	3838
432	2925	3831
433	2932	3823
434	2938	3817
435	2944	3809
436	2950	3801
437	2957	3794
438	2961	3784
439	2967	3776
440	2973	3769
441	2979	3761
442	2986	3755
443	2993	3748
444	2999	3740
445	3005	3733
446	3012	3726
447	3018	3719
448	3025	3712
449	3031	3705
450	3037	3697
451	3043	3690
452	3049	3682
453	3056	3675
454	3061	3667
455	3068	3660
456	3074	3652
457	3080	3645
458	3086	3637
459	3092	3630
460	3098	3623
461	3105	3616
462	3112	3610
463	3118	3602
464	3125	3595
465	3131	3588
466	3137	3581
467	3143	3573
468	3149	3566
469	3156	3559
470	3162	3552
471	3168	3544
472	3174	3537
473	3180	3529
474	3186	3522
475	3193	3515
476	3199	3508
477	3205	3500
478	3211	3493
479	3218	3486
480	3224	3479
481	3230	3471
482	3237	3465
483	3243	3458
484	3250	3451
485	3256	3443
486	3262	3436
487	3268	3429
488	3274	3422
489	3280	3414
490	3286	3407
491	3292	3399
492	3298	3392
493	3305	3385
494	3311	3378
495	3317	3370
496	3323	3363
497	3329	3356
498	3335	3349
499	3342	3342
500	3348	3335
501	3354	3328
502	3360	3320
503	3366	3313
504	3372	3306
505	3378	3298
506	3385	3291
507	3391	3284
508	3397	3277
509	3403	3270
510	3409	3263
511	3415	3255
512	3422	3248
513	3428	3241
514	3435	3234
515	3441	3227
516	3447	3220
517	3453	3213
518	3459	3206
519	3466	3199
520	3472	3192
521	3479	3185
522	3486	3180
523	3493	3173
524	3499	3165
525	3504	3158
526	3511	3151
527	3517	3144
528	3523	3137
529	3530	3130
530	3535	3123
531	3541	3115
532	3548	3108
533	3554	3101
534	3560	3094
535	3566	3087
536	3573	3080
537	3580	3074
538	3586	3067
539	3592	3060
540	3599	3053
541	3605	3046
542	3612	3040
543	3619	3033
544	3626	3027
545	3662	3045
546	3668	3037
547	3675	3031
548	3681	3024
549	3688	3017
550	3694	3010
551	3700	3003
552	3707	2996
553	3713	2989
554	3720	2982
555	3727	2976
556	3733	2969
557	3740	2962
558	3746	2955
559	3753	2948
560	3759	2941
561	3765	2934
562	3771	2927
563	3778	2921
564	3785	2914
565	3791	2907
566	3797	2900
567	3804	2893
568	3810	2886
569	3816	2879
570	3823	2872
571	3829	2865
572	3835	2858
573	3841	2851
574	3847	2844
575	3854	2837
576	3860	2830
577	3867	2823
578	3873	2816
579	3879	2809
580	3885	2802
581	3891	2795
582	3897	2788
583	3903	2780
584	3910	2774
585	3916	2767
586	3922	2759
587	3928	2752
588	3934	2745
589	3941	2738
590	3947	2731
591	3953	2724
592	3960	2717
593	3966	2710
594	3972	2703
595	3978	2697
596	3985	2690
597	3991	2683
598	3999	2677
599	4009	2673
600	4017	2667
601	4026	2661
602	4037	2658
603	4045	2652
604	4052	2645
605	4060	2639
606	4066	2632
607	4075	2627
608	4082	2621
609	4089	2614
610	4095	2607
611	4101	2600
612	4107	2593
613	4113	2586
614	4119	2579
615	4125	2572
616	4132	2565
617	4138	2558
618	4144	2551
619	4150	2544
620	4157	2537
621	4163	2530
622	4170	2523
623	4176	2516
624	4183	2509
625	4189	2502
626	4195	2495
627	4201	2488
628	4207	2481
629	4214	2474
630	4220	2468
631	4226	2461
632	4233	2454
633	4239	2447
634	4246	2440
635	4252	2434
636	4258	2427
637	4265	2420
638	4271	2413
639	4277	2406
640	4284	2399
641	4290	2392
642	4296	2385
643	4303	2378
644	4309	2371
645	4315	2364
646	4321	2357
647	4327	2350
648	4334	2344
649	4340	2337
650	4346	2330
651	4352	2323
652	4358	2316
653	4365	2309
654	4371	2302
655	4377	2295
656	4383	2288
657	4389	2281
658	4395	2274
659	4401	2267
660	4408	2260
661	4414	2253
662	4420	2246
663	4426	2239
664	4432	2232
665	4438	2225
666	4445	2219
667	4451	2212
668	4458	2205
669	4464	2199
670	4470	2192
671	4477	2185
672	4483	2178
673	4488	2171
674	4495	2164
675	4501	2157
676	4507	2150
677	4514	2143
678	4520	2136
679	4526	2130
680	4532	2123
681	4538	2116
682	4545	2109
683	4551	2102
684	4557	2095
685	4563	2089
686	4570	2082
687	4576	2075
688	4583	2068
689	4589	2062
690	4595	2055
691	4602	2048
692	4608	2041
693	4615	2034
694	4621	2028
695	4627	2021
696	4634	2014
697	4640	2007
698	4647	2001
699	4654	1994
700	4660	1988
701	4667	1981
702	4673	1974
703	4681	1968
704	4687	1961
705	4694	1954
706	4701	1948
707	4707	1941
708	4713	1934
709	4720	1927
710	4726	1921
711	4732	1914
712	4739	1907
713	4745	1900
714	4751	1894
715	4758	1887
716	4764	1880
717	4770	1873
718	4776	1866
719	4782	1859
720	4788	1853
721	4795	1846
722	4801	1839
723	4807	1832
724	4813	1825
725	4819	1819
726	4825	1812
727	4831	1805
728	4837	1798
729	4843	1791
730	4849	1784
731	4855	1777
732	4861	1770
733	4867	1764
734	4874	1757
735	4880	1750
736	4886	1743
737	4892	1736
738	4898	1730
739	4904	1723
740	4911	1716
741	4917	1709
742	4924	1703
743	4930	1696
744	4936	1689
745	4942	1682
746	4948	1675
747	4954	1669
748	4961	1662
749	4967	1655
750	4973	1648
751	4979	1642
752	4986	1635
753	4992	1628
754	4998	1622
755	5005	1615
756	5011	1608
757	5017	1601
758	5024	1595
759	5030	1588
760	5036	1581
761	5042	1575
762	5048	1568
763	5054	1561
764	5060	1554
765	5067	1547
766	5073	1541
767	5079	1534
768	5085	1527
769	5092	1521
770	5098	1514
771	5104	1507
772	5110	1500
773	5116	1494
774	5123	1487
775	5129	1480
776	5135	1473
777	5141	1467
778	5147	1460
779	5153	1453
780	5160	1446
781	5166	1440
782	5172	1433
783	5178	1426
784	5184	1420
785	5191	1413
786	5197	1406
787	5203	1399
788	5209	1393
789	5215	1386
790	5221	1379
791	5227	1372
792	5233	1366
793	5239	1359
794	5245	1352
795	5251	1345
796	5257	1339
797	5263	1332
798	5269	1325
799	5276	1319
800	5282	1312
801	5288	1305
802	5294	1298
803	5300	1292
804	5307	1285
805	5313	1278
806	5319	1272
807	5325	1265
808	5332	1258
809	5338	1252
810	5344	1245
811	5351	1238
812	5357	1232
813	5363	1225
814	5369	1218
815	5376	1212
816	5382	1205
817	5388	1198
818	5394	1192
819	5400	1185
820	5406	1178
821	5413	1172
822	5420	1165
823	5426	1159
824	5432	1152
825	5438	1145
826	5444	1138
827	5450	1132
828	5456	1125
829	5462	1118
830	5469	1112
831	5475	1105
832	5482	1099
833	5488	1092
834	5494	1085
835	5500	1079
836	5507	1072
837	5513	1065
838	5519	1059
839	5525	1052
840	5531	1045
841	5538	1039
842	5544	1032
843	5551	1026
844	5557	1019
845	5563	1012
846	5569	1006
847	5575	999
848	5581	992
849	5588	986
850	5594	979
851	5600	972
852	5606	966
853	5612	959
854	5618	952
855	5625	946
856	5631	939
857	5638	933
858	5645	926
859	5652	920
860	5659	913
861	5666	907
862	5672	900
863	5679	893
864	5685	887
865	5691	880
866	5698	874
867	5704	867
868	5710	860
869	5717	854
870	5723	847
871	5729	841
872	5735	834
873	5742	827
874	5748	821
875	5754	814
876	5760	807
877	5766	801
878	5772	794
879	5778	788
880	5784	781
881	5791	774
882	5797	768
883	5805	761
884	5811	755
885	5818	748
886	5824	742
887	5830	735
888	5837	728
889	5843	722
890	5850	715
891	5856	709
892	5862	702
893	5868	695
894	5875	689
895	5881	682
896	5887	676
897	5893	669
898	5899	662
899	5905	656
900	5911	649
901	5917	642
902	5923	636
903	5929	629
904	5935	623
905	5942	616
906	5948	609
907	5954	603
908	5960	596
909	5966	590
910	5973	583
911	5979	576
912	5985	570
913	5991	563
914	5998	557
915	6004	550
916	6010	544
917	6016	537
918	6022	530
919	6029	524
920	6035	517
921	6041	511
922	6047	504
923	6053	497
924	6059	491
925	6066	484
926	6072	478
927	6078	471
928	6084	464
929	6090	458
930	6096	451
931	6102	445
932	6108	438
933	6115	432
934	6121	425
935	6127	419
936	6134	412
937	6141	405
938	6147	399
939	6153	392
940	6159	386
941	6165	379
942	6171	373
943	6177	366
944	6183	359
945	6189	353
946	6195	346
947	6202	340
948	6208	333
949	6214	327
950	6220	320
951	6226	313
952	6232	307
953	6239	300
954	6245	294
955	6252	287
956	6258	281
957	6264	274
958	6271	268
959	6277	261
960	6284	255
961	6291	248
962	6297	241
963	6303	235
964	6309	228
965	6316	222
966	6322	215
967	6328	209
968	6335	202
969	6342	196
970	6348	189
971	6354	183
972	6360	176
973	6366	169
974	6372	163
975	6379	156
976	6386	150
977	6392	143
978	6398	137
979	6404	130
980	6410	124
981	6417	117
982	6423	111
983	6429	104
984	6435	97
985	6441	91
986	6447	84
987	6454	78
988	6460	71
989	6466	65
990	6472	58
991	6479	52
992	6491	45
993	6501	39
994	6508	32
995	6515	26
996	6521	19
997	6527	13
998	6533	6
999	6540	0
