iter	Logloss
0	0.680289968
1	0.6687664136
2	0.6574148143
3	0.6442640114
4	0.6345368404
5	0.6244952101
6	0.6157048259
7	0.6050611676
8	0.5969337782
9	0.5892822554
10	0.5816772639
11	0.573631511
12	0.565878882
13	0.5592102587
14	0.5540516758
15	0.5479307163
16	0.5409214839
17	0.5344435917
18	0.5301138434
19	0.5253183968
20	0.5206947875
21	0.516245372
22	0.5121843913
23	0.5086909418
24	0.5039636028
25	0.5005008298
26	0.4967026796
27	0.4933852672
28	0.490381398
29	0.4874122436
30	0.4848081747
31	0.4819892586
32	0.4795019208
33	0.4771054484
34	0.4746793172
35	0.4726031948
36	0.470373864
37	0.4682233767
38	0.4661878929
39	0.4642473058
40	0.4623324952
41	0.4603958472
42	0.4581430354
43	0.4566253752
44	0.4549841619
45	0.4533025622
46	0.4519506863
47	0.4502553594
48	0.4488430176
49	0.4473707766
50	0.4461340357
51	0.4445492473
52	0.4428407224
53	0.4417293169
54	0.4400853422
55	0.4390832583
56	0.4377800341
57	0.4367489607
58	0.4357713519
59	0.4348867012
60	0.4339868112
61	0.4328159253
62	0.4319825625
63	0.4310096402
64	0.4302944003
65	0.4294366381
66	0.4285052775
67	0.4278018257
68	0.4271321674
69	0.4262746719
70	0.4252883827
71	0.4244760553
72	0.4240841963
73	0.4235062215
74	0.4226724135
75	0.4218453162
76	0.4211482186
77	0.4205813717
78	0.4200009421
79	0.419507336
80	0.4190322878
81	0.4185071448
82	0.4178002193
83	0.4172863011
84	0.4168529536
85	0.4163108284
86	0.4157214597
87	0.415143847
88	0.4147215095
89	0.4143698652
90	0.4137878898
91	0.4134785698
92	0.4131190817
93	0.412729116
94	0.4122822008
95	0.4119251751
96	0.4115756223
97	0.4110826385
98	0.4106416741
99	0.4101996359
100	0.4098842591
101	0.4096698082
102	0.4093848831
103	0.4090468119
104	0.4086438079
105	0.407989573
106	0.4076587406
107	0.4073821022
108	0.4070068833
109	0.4066932543
110	0.4064303749
111	0.4060820866
112	0.4057856826
113	0.4054967771
114	0.4051536581
115	0.4047974438
116	0.4044959722
117	0.4042663714
118	0.4040764205
119	0.4037957565
120	0.4033718066
121	0.4032480501
122	0.4029730439
123	0.4027198625
124	0.4023538322
125	0.4021080258
126	0.4019824157
127	0.4017866909
128	0.4014592503
129	0.401175942
130	0.4009102014
131	0.4007688301
132	0.4004452801
133	0.4003400519
134	0.4001164118
135	0.3998486147
136	0.3995485005
137	0.3993245845
138	0.3990846696
139	0.3987476665
140	0.3985376458
141	0.3982996279
142	0.3981060062
143	0.3978857236
144	0.3976531378
145	0.3974133633
146	0.3972768469
147	0.3971736015
148	0.3969708516
149	0.3967485667
150	0.3965928792
151	0.3962812921
152	0.396086592
153	0.3959372097
154	0.3956908536
155	0.3954504268
156	0.3952225431
157	0.3950183214
158	0.3948263793
159	0.3947299862
160	0.3944780145
161	0.3943412687
162	0.3942420122
163	0.3941539221
164	0.3939067376
165	0.3937397406
166	0.3935179777
167	0.3934061756
168	0.3931320775
169	0.3929953714
170	0.3928400081
171	0.3926674512
172	0.3925028741
173	0.392353215
174	0.3922995713
175	0.3921556829
176	0.3919418728
177	0.391781993
178	0.3916528517
179	0.391549704
180	0.3913378342
181	0.3910641111
182	0.3909532957
183	0.390820213
184	0.3906255619
185	0.390463041
186	0.3901690321
187	0.3900330963
188	0.3898831793
189	0.3897245572
190	0.3895371196
191	0.3893118599
192	0.3891119505
193	0.388932415
194	0.3887258781
195	0.3885128657
196	0.3881838443
197	0.3880006147
198	0.3878535829
199	0.3877049031
200	0.3875546187
201	0.3874432123
202	0.3872494046
203	0.3871247295
204	0.3870262499
205	0.3868019333
206	0.386640361
207	0.3865700196
208	0.3864259842
209	0.3863031446
210	0.3861216953
211	0.3859746832
212	0.3858181476
213	0.3856038442
214	0.3854522084
215	0.385320072
216	0.3852004638
217	0.3849999536
218	0.3848626264
219	0.3846961528
220	0.3846389216
221	0.3844982612
222	0.3844341392
223	0.3842970409
224	0.3841180347
225	0.3839070596
226	0.3836793082
227	0.3836033725
228	0.3834774308
229	0.3833445876
230	0.3832341725
231	0.3832180016
232	0.3830287515
233	0.3828855931
234	0.3827133714
235	0.3825960154
236	0.3824489346
237	0.3823062687
238	0.3822437647
239	0.3820745125
240	0.3819625799
241	0.3817641688
242	0.381637809
243	0.3815567926
244	0.381374483
245	0.3812941211
246	0.3811235224
247	0.3809729257
