iter	Passed	Remaining
0	4	4098
1	7	3598
2	11	3768
3	15	3884
4	19	3902
5	23	3856
6	27	3885
7	31	3875
8	35	3892
9	39	3939
10	43	3947
11	47	3939
12	51	3933
13	55	3906
14	59	3907
15	64	3955
16	68	3979
17	72	3973
18	93	4829
19	96	4752
20	101	4724
21	105	4686
22	109	4640
23	113	4598
24	117	4593
25	122	4581
26	126	4562
27	130	4531
28	135	4531
29	139	4514
30	143	4489
31	148	4499
32	153	4483
33	157	4472
34	161	4450
35	184	4934
36	200	5220
37	204	5178
38	208	5138
39	213	5126
40	217	5089
41	221	5049
42	226	5036
43	230	5010
44	234	4975
45	238	4950
46	243	4942
47	248	4919
48	251	4887
49	256	4867
50	261	4857
51	265	4833
52	269	4808
53	273	4783
54	277	4760
55	280	4729
56	284	4700
57	287	4671
58	291	4648
59	295	4623
60	298	4593
61	301	4568
62	304	4535
63	308	4515
64	312	4494
65	316	4473
66	320	4458
67	324	4447
68	328	4425
69	331	4407
70	335	4383
71	338	4363
72	346	4406
73	350	4381
74	353	4359
75	357	4348
76	361	4335
77	365	4318
78	368	4297
79	372	4286
80	376	4273
81	380	4259
82	383	4240
83	387	4226
84	391	4217
85	395	4201
86	399	4187
87	403	4179
88	407	4166
89	411	4156
90	414	4143
91	418	4134
92	423	4127
93	427	4117
94	431	4107
95	435	4098
96	439	4091
97	443	4086
98	448	4078
99	453	4077
100	457	4071
101	461	4058
102	465	4049
103	481	4146
104	485	4136
105	488	4121
106	491	4105
107	495	4091
108	499	4080
109	502	4067
110	506	4053
111	509	4040
112	512	4026
113	517	4018
114	520	4006
115	524	3993
116	527	3980
117	531	3974
118	535	3962
119	538	3952
120	542	3940
121	546	3929
122	549	3919
123	553	3913
124	558	3907
125	561	3897
126	565	3888
127	586	3995
128	589	3980
129	592	3967
130	596	3958
131	600	3947
132	603	3934
133	606	3922
134	610	3909
135	630	4006
136	633	3992
137	636	3978
138	640	3966
139	644	3957
140	647	3947
141	651	3934
142	654	3923
143	658	3912
144	662	3904
145	665	3894
146	669	3882
147	672	3871
148	676	3862
149	678	3846
150	682	3835
151	685	3824
152	689	3814
153	693	3810
154	696	3799
155	700	3789
156	704	3780
157	708	3775
158	712	3766
159	715	3756
160	719	3749
161	723	3743
162	727	3734
163	730	3724
164	734	3716
165	738	3710
166	742	3703
167	746	3694
168	749	3685
169	753	3677
170	756	3668
171	760	3658
172	763	3649
173	767	3641
174	771	3635
175	775	3628
176	778	3620
177	781	3610
178	785	3603
179	794	3619
180	798	3611
181	801	3603
182	809	3614
183	813	3605
184	816	3596
185	820	3590
186	824	3583
187	827	3573
188	830	3564
189	834	3556
190	838	3550
191	841	3543
192	845	3534
193	848	3526
194	852	3520
195	856	3512
196	859	3504
197	863	3496
198	867	3492
199	871	3484
200	874	3475
201	877	3467
202	881	3459
203	900	3512
204	903	3503
205	906	3494
206	910	3486
207	912	3474
208	916	3467
209	919	3459
210	922	3451
211	926	3443
212	929	3433
213	933	3427
214	936	3418
215	939	3411
216	943	3404
217	947	3398
218	951	3391
219	955	3385
220	974	3433
221	976	3423
222	981	3418
223	984	3411
224	988	3406
225	1003	3438
226	1007	3429
227	1010	3421
228	1019	3431
229	1022	3422
230	1025	3414
231	1030	3410
232	1034	3404
233	1038	3398
234	1041	3391
235	1046	3386
236	1049	3380
237	1053	3374
238	1057	3366
239	1061	3362
240	1065	3356
241	1069	3348
242	1072	3341
243	1076	3336
244	1080	3329
245	1083	3321
246	1087	3314
247	1091	3308
248	1094	3302
249	1098	3295
250	1101	3287
251	1105	3281
252	1109	3275
253	1113	3269
254	1116	3262
255	1120	3255
256	1124	3249
257	1127	3242
258	1130	3235
259	1134	3228
260	1137	3221
261	1153	3249
262	1157	3244
263	1161	3237
264	1164	3230
265	1168	3223
266	1173	3221
267	1177	3217
268	1182	3212
269	1186	3207
270	1190	3201
271	1194	3195
272	1197	3189
273	1209	3203
274	1214	3200
275	1221	3203
276	1230	3212
277	1236	3210
278	1240	3204
279	1244	3199
280	1248	3194
281	1251	3186
282	1255	3181
283	1259	3176
284	1264	3172
285	1268	3166
286	1272	3160
287	1276	3154
288	1280	3150
289	1287	3152
290	1293	3152
291	1298	3149
292	1317	3178
293	1320	3170
294	1323	3162
295	1326	3155
296	1330	3149
297	1334	3142
298	1337	3135
299	1340	3128
300	1344	3121
301	1348	3115
302	1351	3109
303	1354	3101
304	1358	3094
305	1362	3089
306	1365	3082
307	1368	3075
308	1372	3068
309	1375	3062
310	1379	3057
311	1383	3050
312	1386	3043
313	1390	3036
314	1394	3032
315	1398	3026
316	1401	3019
317	1404	3012
318	1408	3007
319	1425	3029
320	1429	3023
321	1434	3020
322	1438	3015
323	1443	3011
324	1446	3004
325	1450	2998
326	1453	2991
327	1457	2985
328	1460	2979
329	1464	2972
330	1467	2966
331	1471	2960
332	1474	2954
333	1478	2947
334	1481	2941
335	1484	2934
336	1488	2929
337	1492	2923
338	1495	2916
339	1499	2910
340	1502	2903
341	1506	2898
342	1510	2892
343	1513	2886
344	1516	2879
345	1520	2873
346	1530	2880
347	1533	2873
348	1537	2867
349	1540	2861
350	1543	2854
351	1547	2847
352	1550	2841
353	1554	2836
354	1557	2829
355	1561	2823
356	1564	2817
357	1568	2811
358	1571	2806
359	1574	2799
360	1578	2793
361	1581	2787
362	1585	2781
363	1588	2776
364	1592	2770
365	1595	2764
366	1598	2757
367	1605	2757
368	1609	2751
369	1612	2745
370	1615	2739
371	1619	2733
372	1622	2727
373	1626	2721
374	1629	2715
375	1633	2710
376	1636	2704
377	1640	2698
378	1643	2692
379	1646	2686
380	1650	2681
381	1654	2676
382	1657	2670
383	1660	2664
384	1664	2659
385	1668	2653
386	1671	2647
387	1674	2641
388	1678	2635
389	1681	2630
390	1685	2624
391	1688	2618
392	1692	2613
393	1696	2608
394	1699	2603
395	1703	2597
396	1706	2591
397	1709	2586
398	1713	2581
399	1717	2575
400	1720	2569
401	1723	2564
402	1727	2558
403	1741	2568
404	1744	2562
405	1747	2557
406	1751	2551
407	1754	2545
408	1757	2539
409	1761	2535
410	1765	2529
411	1768	2523
412	1771	2517
413	1774	2511
414	1778	2507
415	1781	2501
416	1785	2496
417	1788	2490
418	1792	2485
419	1801	2488
420	1804	2482
421	1808	2477
422	1812	2472
423	1816	2467
424	1819	2461
425	1822	2455
426	1826	2450
427	1829	2445
428	1833	2439
429	1836	2434
430	1839	2428
431	1843	2423
432	1846	2418
433	1849	2412
434	1853	2407
435	1856	2401
436	1860	2397
437	1864	2391
438	1867	2386
439	1870	2380
440	1874	2375
441	1877	2370
442	1881	2365
443	1884	2359
444	1887	2354
445	1892	2350
446	1895	2345
447	1899	2339
448	1902	2334
449	1906	2330
450	1910	2325
451	1913	2319
452	1916	2314
453	1920	2309
454	1939	2322
455	1942	2317
456	1946	2312
457	1949	2306
458	1953	2302
459	1956	2297
460	1960	2291
461	1963	2286
462	1967	2281
463	1971	2276
464	1974	2271
465	1977	2266
466	1981	2261
467	1985	2256
468	1988	2251
469	1992	2246
470	1995	2241
471	1998	2236
472	2002	2231
473	2006	2226
474	2009	2221
475	2012	2215
476	2016	2211
477	2020	2206
478	2023	2201
479	2027	2196
480	2030	2191
481	2042	2194
482	2045	2189
483	2048	2184
484	2052	2179
485	2055	2173
486	2058	2168
487	2062	2163
488	2065	2158
489	2069	2153
490	2072	2148
491	2076	2143
492	2079	2138
493	2083	2133
494	2086	2129
495	2090	2123
496	2093	2118
497	2096	2113
498	2100	2108
499	2103	2103
500	2106	2098
501	2110	2093
502	2113	2088
503	2117	2084
504	2120	2078
505	2124	2073
506	2128	2069
507	2132	2064
508	2135	2059
509	2138	2054
510	2141	2049
511	2145	2044
512	2148	2039
513	2151	2034
514	2155	2029
515	2158	2024
516	2162	2020
517	2165	2015
518	2168	2010
519	2172	2005
520	2175	2000
521	2179	1995
522	2183	1991
523	2186	1986
524	2189	1980
525	2193	1976
526	2196	1971
527	2199	1966
528	2203	1961
529	2206	1956
530	2210	1952
531	2213	1947
532	2217	1942
533	2220	1937
534	2224	1933
535	2227	1928
536	2230	1923
537	2234	1918
538	2237	1913
539	2241	1909
540	2245	1904
541	2248	1900
542	2251	1895
543	2255	1890
544	2259	1885
545	2262	1881
546	2265	1876
547	2269	1871
548	2272	1867
549	2276	1862
550	2279	1857
551	2282	1852
552	2286	1848
553	2290	1843
554	2293	1838
555	2296	1833
556	2299	1829
557	2303	1824
558	2306	1820
559	2310	1815
560	2314	1810
561	2317	1806
562	2321	1802
563	2325	1797
564	2328	1793
565	2332	1788
566	2336	1783
567	2339	1779
568	2342	1774
569	2346	1769
570	2349	1765
571	2353	1760
572	2356	1756
573	2360	1751
574	2363	1746
575	2367	1742
576	2376	1742
577	2379	1737
578	2383	1732
579	2386	1728
580	2390	1723
581	2393	1718
582	2396	1714
583	2400	1709
584	2403	1705
585	2407	1700
586	2410	1695
587	2413	1691
588	2417	1687
589	2437	1693
590	2440	1688
591	2443	1684
592	2446	1679
593	2450	1675
594	2454	1670
595	2458	1666
596	2462	1662
597	2466	1658
598	2471	1654
599	2475	1650
600	2479	1646
601	2483	1641
602	2487	1637
603	2497	1637
604	2501	1632
605	2504	1628
606	2508	1624
607	2513	1620
608	2518	1616
609	2521	1612
610	2525	1608
611	2530	1604
612	2534	1599
613	2538	1595
614	2542	1591
615	2547	1587
616	2551	1583
617	2555	1579
618	2560	1576
619	2566	1572
620	2571	1569
621	2576	1565
622	2581	1561
623	2585	1557
624	2590	1554
625	2601	1554
626	2606	1550
627	2610	1546
628	2616	1543
629	2621	1539
630	2626	1535
631	2630	1531
632	2634	1527
633	2638	1523
634	2643	1519
635	2647	1515
636	2651	1510
637	2656	1507
638	2660	1503
639	2665	1499
640	2669	1495
641	2674	1491
642	2678	1487
643	2681	1482
644	2685	1477
645	2689	1473
646	2692	1469
647	2696	1464
648	2701	1460
649	2708	1458
650	2711	1453
651	2715	1449
652	2719	1444
653	2722	1440
654	2726	1436
655	2729	1431
656	2733	1427
657	2737	1422
658	2740	1418
659	2743	1413
660	2747	1408
661	2751	1404
662	2754	1400
663	2758	1395
664	2761	1391
665	2766	1387
666	2770	1382
667	2784	1383
668	2788	1379
669	2791	1375
670	2795	1370
671	2799	1366
672	2802	1361
673	2806	1357
674	2809	1352
675	2814	1348
676	2818	1344
677	2821	1340
678	2825	1335
679	2828	1331
680	2832	1326
681	2836	1322
682	2839	1317
683	2843	1313
684	2847	1309
685	2850	1304
686	2854	1300
687	2857	1295
688	2861	1291
689	2864	1287
690	2868	1282
691	2871	1278
692	2875	1273
693	2879	1269
694	2882	1264
695	2886	1260
696	2889	1256
697	2893	1252
698	2897	1247
699	2901	1243
700	2904	1238
701	2908	1234
702	2911	1230
703	2915	1225
704	2918	1221
705	2921	1216
706	2925	1212
707	2929	1208
708	2933	1203
709	2936	1199
710	2940	1195
711	2944	1191
712	2948	1186
713	2952	1182
714	2956	1178
715	2963	1175
716	2966	1170
717	2970	1166
718	2973	1162
719	2977	1157
720	2980	1153
721	2984	1149
722	2987	1144
723	2991	1140
724	2994	1135
725	2997	1131
726	3001	1126
727	3005	1122
728	3008	1118
729	3011	1113
730	3014	1109
731	3018	1105
732	3022	1100
733	3026	1096
734	3029	1092
735	3032	1087
736	3036	1083
737	3040	1079
738	3043	1074
739	3046	1070
740	3050	1066
741	3054	1062
742	3058	1057
743	3061	1053
744	3065	1049
745	3069	1045
746	3072	1040
747	3075	1036
748	3079	1031
749	3082	1027
750	3099	1027
751	3103	1023
752	3106	1018
753	3109	1014
754	3113	1010
755	3116	1005
756	3120	1001
757	3123	997
758	3127	992
759	3130	988
760	3134	984
761	3137	979
762	3140	975
763	3144	971
764	3148	967
765	3151	962
766	3154	958
767	3158	954
768	3161	949
769	3165	945
770	3168	941
771	3172	936
772	3175	932
773	3178	928
774	3189	925
775	3192	921
776	3195	917
777	3199	912
778	3202	908
779	3206	904
780	3209	899
781	3213	895
782	3217	891
783	3220	887
784	3223	882
785	3227	878
786	3230	874
787	3234	870
788	3237	865
789	3241	861
790	3245	857
791	3248	853
792	3252	848
793	3255	844
794	3258	840
795	3262	836
796	3266	831
797	3269	827
798	3272	823
799	3277	819
800	3280	814
801	3283	810
802	3287	806
803	3290	802
804	3294	798
805	3297	793
806	3300	789
807	3304	785
808	3308	781
809	3311	776
810	3314	772
811	3318	768
812	3321	764
813	3325	759
814	3329	755
815	3332	751
816	3336	747
817	3340	743
818	3343	738
819	3346	734
820	3350	730
821	3354	726
822	3358	722
823	3361	718
824	3365	713
825	3368	709
826	3372	705
827	3375	701
828	3379	697
829	3382	692
830	3386	688
831	3389	684
832	3393	680
833	3396	676
834	3399	671
835	3403	667
836	3407	663
837	3410	659
838	3414	655
839	3417	650
840	3421	646
841	3424	642
842	3428	638
843	3431	634
844	3435	630
845	3439	626
846	3442	621
847	3446	617
848	3449	613
849	3453	609
850	3457	605
851	3461	601
852	3465	597
853	3475	594
854	3478	589
855	3481	585
856	3490	582
857	3493	578
858	3496	573
859	3500	569
860	3503	565
861	3507	561
862	3510	557
863	3514	553
864	3517	548
865	3521	544
866	3524	540
867	3527	536
868	3531	532
869	3535	528
870	3538	524
871	3542	519
872	3545	515
873	3550	511
874	3553	507
875	3557	503
876	3560	499
877	3564	495
878	3568	491
879	3571	487
880	3575	482
881	3578	478
882	3582	474
883	3585	470
884	3588	466
885	3591	462
886	3595	458
887	3598	453
888	3602	449
889	3605	445
890	3609	441
891	3626	439
892	3630	434
893	3633	430
894	3636	426
895	3640	422
896	3643	418
897	3647	414
898	3650	410
899	3653	405
900	3657	401
901	3671	398
902	3675	394
903	3678	390
904	3681	386
905	3685	382
906	3688	378
907	3692	374
908	3695	369
909	3698	365
910	3702	361
911	3705	357
912	3709	353
913	3712	349
914	3716	345
915	3719	341
916	3723	337
917	3726	332
918	3730	328
919	3733	324
920	3736	320
921	3740	316
922	3744	312
923	3748	308
924	3751	304
925	3755	300
926	3758	295
927	3762	291
928	3765	287
929	3768	283
930	3772	279
931	3775	275
932	3779	271
